__fact_key__,institution,period,publisher,journal_full_title,issn,doi,is_hybrid,country,euro
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Pediatric Blood & Cancer,1545-5009,10.1002/pbc.28127,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Annals of Human Genetics,0003-4800,10.1111/ahg.12343,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transboundary and Emerging Diseases,1865-1674,10.1111/tbed.13333,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Ultrasound in Obstetrics & Gynecology,0960-7692,10.1002/uog.21869,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Psychophysiology,0048-5772,10.1111/psyp.13463,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,International Journal of Cancer,0020-7136,10.1002/ijc.32572,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Hepatology,0270-9139,10.1002/hep.31108,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transplant International,0934-0874,10.1111/tri.13489,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Brain Pathology,1015-6305,10.1111/bpa.12772,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,British Journal of Haematology,0007-1048,10.1111/bjh.16389,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transplant International,0934-0874,10.1111/tri.13551,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transfusion,0041-1132,10.1111/trf.15591,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14153,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,British Journal of Pharmacology,0007-1188,10.1111/bph.14810,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Cancer,0008-543X,10.1002/cncr.32511,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transfusion,0041-1132,10.1111/trf.15552,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14069,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Human Brain Mapping,1065-9471,10.1002/hbm.24791,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14037,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14033,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,The Journal of Clinical Hypertension,1524-6175,10.1111/jch.13688,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Movement Disorders,0885-3185,10.1002/mds.27855,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,British Journal of Pharmacology,0007-1188,10.1111/bph.14923,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,The Journal of Clinical Hypertension,1524-6175,10.1111/jch.13743,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,European Journal of Heart Failure,1388-9842,10.1002/ejhf.1723,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,The Journal of Clinical Hypertension,1524-6175,10.1111/jch.13787,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,British Journal of Dermatology,0007-0963,10.1111/bjd.18621,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,British Journal of Dermatology,0007-0963,10.1111/bjd.18469,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Cancer,0008-543X,10.1002/cncr.32823,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Birth,0730-7659,10.1111/birt.12476,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,BJOG An International Journal of Obstetrics & Gynaecology,1470-0328,10.1111/1471-0528.15872,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Molecular Nutrition & Food Research,1613-4125,10.1002/mnfr.201900019,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,International Endodontic Journal,0143-2885,10.1111/iej.13232,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Microcirculation,1073-9688,10.1111/micc.12590,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal of Medical Virology,0146-6615,10.1002/jmv.25636,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14247,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Pediatric Allergy and Immunology,0905-6157,10.1111/pai.13148,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Clinical & Experimental Allergy,0954-7894,10.1111/cea.13559,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal for Eighteenth-Century Studies,1754-0194,10.1111/1754-0208.12663,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14234,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,European Journal of Heart Failure,1388-9842,10.1002/ejhf.1695,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Clinical Genetics,0009-9163,10.1111/cge.13645,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Macromolecular Bioscience,1616-5187,10.1002/mabi.201900184,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Annals of Neurology,0364-5134,10.1002/ana.25552,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Annals of Neurology,0364-5134,10.1002/ana.25551,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,European Journal of Heart Failure,1388-9842,10.1002/ejhf.1619,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Skin Research and Technology,0909-752X,10.1111/srt.12813,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Lasers in Surgery and Medicine,0196-8092,10.1002/lsm.23213,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Psycho-Oncology,1057-9249,10.1002/pon.5282,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal of Biophotonics,1864-063X,10.1002/jbio.201960106,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Transplant International,0934-0874,10.1111/tri.13525,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Skin Research and Technology,0909-752X,10.1111/srt.12830,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Skin Research and Technology,0909-752X,10.1111/srt.12785,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Statistics in Medicine,0277-6715,10.1002/sim.8343,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Acta Anaesthesiologica Scandinavica,0001-5172,10.1111/aas.13523,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Pediatric Allergy and Immunology,0905-6157,10.1111/pai.13165,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Movement Disorders,0885-3185,10.1002/mds.27838,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,The FASEB Journal,0892-6638,10.1096/fj.201901202rr,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Acta Anaesthesiologica Scandinavica,0001-5172,10.1111/aas.13535,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Zeitschrift für Rheumatologie,0340-1855,10.1007/s00393-020-00921-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,European Radiology,0938-7994,10.1007/s00330-020-06859-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,The Cerebellum,1473-4222,10.1007/s12311-020-01122-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Psychotherapeut,0935-6185,10.1007/s00278-020-00421-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Mindfulness,1868-8527,10.1007/s12671-020-01447-x,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Acta Neurochirurgica,0001-6268,10.1007/s00701-020-04437-z,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Cell and Tissue Research,0302-766X,10.1007/s00441-020-03172-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Acta Neurochirurgica,0001-6268,10.1007/s00701-020-04361-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Acta Neurochirurgica,0001-6268,10.1007/s00701-020-04284-y,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Molecular Imaging and Biology,1536-1632,10.1007/s11307-020-01563-z,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Annals of Surgical Oncology,1068-9265,10.1245/s10434-020-09280-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,European Radiology,0938-7994,10.1007/s00330-020-06808-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Journal of Cardiovascular Translational Research,1937-5387,10.1007/s12265-020-09983-6,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Annals of Surgical Oncology,1068-9265,10.1245/s10434-020-09325-5,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,HNO,0017-6192,10.1007/s00106-020-00903-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Clinical Oral Investigations,1432-6981,10.1007/s00784-020-03334-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Acta Neurochirurgica,0001-6268,10.1007/s00701-020-04359-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Der Ophthalmologe,0941-293X,10.1007/s00347-020-01042-4,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Journal of Immigrant and Minority Health,1557-1912,10.1007/s10903-019-00968-5,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,HNO,0017-6192,10.1007/s00106-019-00798-9,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Clinical Oral Investigations,1432-6981,10.1007/s00784-020-03431-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Allergo Journal International,2197-0378,10.1007/s40629-020-00125-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Der Nervenarzt,0028-2804,10.1007/s00115-020-00876-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Langenbeck's Archives of Surgery,1435-2443,10.1007/s00423-019-01850-6,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Allergo Journal International,2197-0378,10.1007/s40629-020-00128-4,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1436-9990,10.1007/s00103-020-03162-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Notfall + Rettungsmedizin,1434-6222,10.1007/s10049-020-00726-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Zeitschrift für Rheumatologie,0340-1855,10.1007/s00393-020-00925-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Zeitschrift für Rheumatologie,0340-1855,10.1007/s00393-020-00842-y,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Pediatric Nephrology,0931-041X,10.1007/s00467-020-04585-5,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Psychotherapeut,0935-6185,10.1007/s00278-020-00411-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,"Forensische Psychiatrie, Psychologie, Kriminologie",1862-7072,10.1007/s11757-020-00583-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Clinical Oral Investigations,1432-6981,10.1007/s00784-020-03269-6,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Gynecology and Obstetrics,0932-0067,10.1007/s00404-020-05728-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Journal of Cognitive Enhancement,2509-3290,10.1007/s41465-020-00177-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Neurosurgical Review,0344-5607,10.1007/s10143-020-01323-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,"Knee Surgery, Sports Traumatology, Arthroscopy",0942-2056,10.1007/s00167-020-06246-4,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Oral and Maxillofacial Surgery,1865-1550,10.1007/s10006-020-00829-8,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Surgical Endoscopy,0930-2794,10.1007/s00464-019-07351-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Molecular Biology Reports,0301-4851,10.1007/s11033-020-05428-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Strahlentherapie und Onkologie,0179-7158,10.1007/s00066-020-01591-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,SN Comprehensive Clinical Medicine,2523-8973,10.1007/s42399-020-00235-x,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,HeilberufeScience,2190-2100,10.1007/s16024-020-00340-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1436-9990,10.1007/s00103-020-03207-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Gynecology and Obstetrics,0932-0067,10.1007/s00404-020-05582-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Allergo Journal International,2197-0378,10.1007/s40629-020-00122-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Journal of Neural Transmission,0300-9564,10.1007/s00702-020-02155-5,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Zeitschrift für Rheumatologie,0340-1855,10.1007/s00393-020-00912-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Obere Extremität,1862-6599,10.1007/s11678-020-00576-y,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Herzschrittmachertherapie + Elektrophysiologie,0938-7412,10.1007/s00399-020-00683-x,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1436-9990,10.1007/s00103-020-03171-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Zeitschrift für Rheumatologie,0340-1855,10.1007/s00393-020-00822-2,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Gynecology and Obstetrics,0932-0067,10.1007/s00404-020-05721-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Gynecology and Obstetrics,0932-0067,10.1007/s00404-020-05734-9,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Molecular Psychiatry,1359-4184,10.1038/s41380-020-0791-8,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Clinical Dentistry Reviewed,2511-1965,10.1007/s41894-020-00086-8,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Spinal Cord,1362-4393,10.1038/s41393-020-0435-5,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Toxicology,0340-5761,10.1007/s00204-020-02654-0,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Der Anaesthesist,0003-2417,10.1007/s00101-020-00846-y,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Current Cardiology Reports,1523-3782,10.1007/s11886-020-01278-1,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Cell Biochemistry and Biophysics,1085-9195,10.1007/s12013-020-00908-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,"Knee Surgery, Sports Traumatology, Arthroscopy",0942-2056,10.1007/s00167-020-06344-3,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Annals of Surgical Oncology,1068-9265,10.1245/s10434-020-08219-w,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Graefe's Archive for Clinical and Experimental Ophthalmology,0721-832X,10.1007/s00417-020-04618-7,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Journal of Cancer Research and Clinical Oncology,0171-5216,10.1007/s00432-020-03257-z,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Intensive Care Medicine,0342-4642,10.1007/s00134-020-06151-x,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1436-9990,10.1007/s00103-020-03213-9,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Neurochemical Research,0364-3190,10.1007/s11064-020-02961-z,TRUE,DEU,1400.27
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2020,Springer Nature,Archives of Orthopaedic and Trauma Surgery,0936-8051,10.1007/s00402-020-03389-4,TRUE,DEU,1400.27
